week,area,countingDirection,name,timestamp,is_holiday,is_edge_holiday
日曜,plaza_car_near,leftright_topbottom,motorbike,12.444444444444445,1.0,0.0
月曜,plaza_car_near,leftright_topbottom,person,715.3,0.1,0.9
火曜,plaza_car_near,leftright_topbottom,person,669.8,0.0,0.1
水曜,plaza_car_near,leftright_topbottom,person,647.1,0.0,0.1
木曜,plaza_car_near,leftright_topbottom,person,802.2,0.1,0.1
金曜,plaza_car_near,leftright_topbottom,person,869.0,0.1111111111111111,0.8888888888888888
土曜,plaza_car_near,leftright_topbottom,person,859.3,1.0,0.0
日曜,plaza_car_near,leftright_topbottom,person,937.9,1.0,0.0
月曜,plaza_car_near,leftright_topbottom,truck,130.6,0.1,0.9
火曜,plaza_car_near,leftright_topbottom,truck,116.6,0.0,0.1
水曜,plaza_car_near,leftright_topbottom,truck,112.8,0.0,0.1
木曜,plaza_car_near,leftright_topbottom,truck,113.7,0.1,0.1
金曜,plaza_car_near,leftright_topbottom,truck,130.33333333333334,0.1111111111111111,0.8888888888888888
土曜,plaza_car_near,leftright_topbottom,truck,111.5,1.0,0.0
日曜,plaza_car_near,leftright_topbottom,truck,74.2,1.0,0.0
月曜,plaza_car_near,rightleft_bottomtop,bicycle,118.11111111111111,0.1111111111111111,0.8888888888888888
火曜,plaza_car_near,rightleft_bottomtop,bicycle,122.88888888888889,0.0,0.1111111111111111
水曜,plaza_car_near,rightleft_bottomtop,bicycle,119.88888888888889,0.0,0.1111111111111111
木曜,plaza_car_near,rightleft_bottomtop,bicycle,136.77777777777777,0.1111111111111111,0.1111111111111111
金曜,plaza_car_near,rightleft_bottomtop,bicycle,153.75,0.125,0.875
土曜,plaza_car_near,rightleft_bottomtop,bicycle,176.88888888888889,1.0,0.0
日曜,plaza_car_near,rightleft_bottomtop,bicycle,130.22222222222223,1.0,0.0
月曜,plaza_car_near,rightleft_bottomtop,bus,28.8,0.1,0.9
火曜,plaza_car_near,rightleft_bottomtop,bus,32.6,0.0,0.1
水曜,plaza_car_near,rightleft_bottomtop,bus,33.4,0.0,0.1
木曜,plaza_car_near,rightleft_bottomtop,bus,29.2,0.1,0.1
金曜,plaza_car_near,rightleft_bottomtop,bus,26.11111111111111,0.1111111111111111,0.8888888888888888
土曜,plaza_car_near,rightleft_bottomtop,bus,23.6,1.0,0.0
日曜,plaza_car_near,rightleft_bottomtop,bus,14.8,1.0,0.0
月曜,plaza_car_near,rightleft_bottomtop,car,954.1,0.1,0.9
火曜,plaza_car_near,rightleft_bottomtop,car,921.1,0.0,0.1
水曜,plaza_car_near,rightleft_bottomtop,car,895.8,0.0,0.1
木曜,plaza_car_near,rightleft_bottomtop,car,889.1,0.1,0.1
金曜,plaza_car_near,rightleft_bottomtop,car,1037.111111111111,0.1111111111111111,0.8888888888888888
土曜,plaza_car_near,rightleft_bottomtop,car,955.6,1.0,0.0
日曜,plaza_car_near,rightleft_bottomtop,car,913.2,1.0,0.0
月曜,plaza_car_near,rightleft_bottomtop,motorbike,35.888888888888886,0.1111111111111111,0.8888888888888888
火曜,plaza_car_near,rightleft_bottomtop,motorbike,35.0,0.0,0.1111111111111111
水曜,plaza_car_near,rightleft_bottomtop,motorbike,36.888888888888886,0.0,0.2222222222222222
木曜,plaza_car_near,rightleft_bottomtop,motorbike,32.25,0.125,0.0
金曜,plaza_car_near,rightleft_bottomtop,motorbike,64.625,0.125,0.875
土曜,plaza_car_near,rightleft_bottomtop,motorbike,33.55555555555556,1.0,0.0
日曜,plaza_car_near,rightleft_bottomtop,motorbike,48.333333333333336,1.0,0.0
月曜,plaza_car_near,rightleft_bottomtop,person,400.4,0.1,0.9
火曜,plaza_car_near,rightleft_bottomtop,person,344.1,0.0,0.1
水曜,plaza_car_near,rightleft_bottomtop,person,364.7,0.0,0.1
木曜,plaza_car_near,rightleft_bottomtop,person,465.1,0.1,0.1
金曜,plaza_car_near,rightleft_bottomtop,person,455.44444444444446,0.1111111111111111,0.8888888888888888
土曜,plaza_car_near,rightleft_bottomtop,person,490.5,1.0,0.0
日曜,plaza_car_near,rightleft_bottomtop,person,565.5,1.0,0.0
月曜,plaza_car_near,rightleft_bottomtop,truck,111.8,0.1,0.9
火曜,plaza_car_near,rightleft_bottomtop,truck,107.7,0.0,0.1
水曜,plaza_car_near,rightleft_bottomtop,truck,103.6,0.0,0.1
木曜,plaza_car_near,rightleft_bottomtop,truck,105.6,0.1,0.0
金曜,plaza_car_near,rightleft_bottomtop,truck,126.77777777777777,0.1111111111111111,0.8888888888888888
土曜,plaza_car_near,rightleft_bottomtop,truck,80.2,1.0,0.0
日曜,plaza_car_near,rightleft_bottomtop,truck,52.4,1.0,0.0
月曜,plaza_left_far,leftright_topbottom,bicycle,3.8333333333333335,0.0,0.6666666666666666
火曜,plaza_left_far,leftright_topbottom,bicycle,4.0,0.0,0.25
水曜,plaza_left_far,leftright_topbottom,bicycle,3.6666666666666665,0.0,0.3333333333333333
木曜,plaza_left_far,leftright_topbottom,bicycle,4.833333333333333,0.16666666666666666,0.3333333333333333
金曜,plaza_left_far,leftright_topbottom,bicycle,2.0,0.125,0.625
土曜,plaza_left_far,leftright_topbottom,bicycle,2.5,1.0,0.0
日曜,plaza_left_far,leftright_topbottom,bicycle,2.25,1.0,0.0
月曜,plaza_left_far,leftright_topbottom,bus,1.0,0.0,1.0
火曜,plaza_left_far,leftright_topbottom,bus,2.0,0.0,0.0
水曜,plaza_left_far,leftright_topbottom,bus,2.4,0.0,0.6
木曜,plaza_left_far,leftright_topbottom,bus,3.0,0.0,0.4
金曜,plaza_left_far,leftright_topbottom,bus,1.0,0.25,0.5
土曜,plaza_left_far,leftright_topbottom,bus,2.3333333333333335,1.0,0.0
日曜,plaza_left_far,leftright_topbottom,bus,2.0,1.0,0.0
月曜,plaza_left_far,leftright_topbottom,car,11.0,0.1,0.9
火曜,plaza_left_far,leftright_topbottom,car,11.3,0.0,0.1
水曜,plaza_left_far,leftright_topbottom,car,17.6,0.0,0.1
木曜,plaza_left_far,leftright_topbottom,car,16.6,0.1,0.1
金曜,plaza_left_far,leftright_topbottom,car,12.11111111111111,0.1111111111111111,0.8888888888888888
土曜,plaza_left_far,leftright_topbottom,car,14.3,1.0,0.0
日曜,plaza_left_far,leftright_topbottom,car,10.7,1.0,0.0
月曜,plaza_left_far,leftright_topbottom,motorbike,91.8,0.1,0.9
火曜,plaza_left_far,leftright_topbottom,motorbike,24.875,0.0,0.125
水曜,plaza_left_far,leftright_topbottom,motorbike,62.111111111111114,0.0,0.1111111111111111
木曜,plaza_left_far,leftright_topbottom,motorbike,45.7,0.1,0.1
金曜,plaza_left_far,leftright_topbottom,motorbike,50.888888888888886,0.1111111111111111,0.8888888888888888
土曜,plaza_left_far,leftright_topbottom,motorbike,62.22222222222222,1.0,0.0
日曜,plaza_left_far,leftright_topbottom,motorbike,72.0,1.0,0.0
月曜,plaza_left_far,leftright_topbottom,person,924.8,0.1,0.9
火曜,plaza_left_far,leftright_topbottom,person,672.0,0.0,0.1
水曜,plaza_left_far,leftright_topbottom,person,786.5,0.0,0.1
木曜,plaza_left_far,leftright_topbottom,person,902.3,0.1,0.1
金曜,plaza_left_far,leftright_topbottom,person,1117.5555555555557,0.1111111111111111,0.8888888888888888
土曜,plaza_left_far,leftright_topbottom,person,1170.1,1.0,0.0
