,idx,name,area,countingDirection,day,count,date_jst,week,time,is_holiday_x,0,is_holiday_y,is_edge_holiday
62,62,car,conv_crossing_right_car,rightleft_bottomtop,2021-11-11,68,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
63,63,car,conv_crossing_right_person,leftright_topbottom,2021-11-11,25,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
64,64,car,conv_crossing_right_person,rightleft_bottomtop,2021-11-11,12,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
65,65,motorbike,conv_crossing_left_car,leftright_topbottom,2021-11-11,1,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
66,66,motorbike,conv_crossing_right_car,rightleft_bottomtop,2021-11-11,2,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
67,67,person,conv_crossing_far_car,leftright_topbottom,2021-11-11,12,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
68,68,person,conv_crossing_far_car,rightleft_bottomtop,2021-11-11,18,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
69,69,person,conv_crossing_far_person,leftright_topbottom,2021-11-11,24,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
70,70,person,conv_crossing_far_person,rightleft_bottomtop,2021-11-11,17,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
71,71,person,conv_crossing_left_car,leftright_topbottom,2021-11-11,87,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
72,72,person,conv_crossing_left_car,rightleft_bottomtop,2021-11-11,86,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
73,73,person,conv_crossing_left_person,leftright_topbottom,2021-11-11,23,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
74,74,person,conv_crossing_left_person,rightleft_bottomtop,2021-11-11,18,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
75,75,person,conv_crossing_parking,leftright_topbottom,2021-11-11,27,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
76,76,person,conv_crossing_parking,rightleft_bottomtop,2021-11-11,16,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
77,77,person,conv_crossing_right_car,leftright_topbottom,2021-11-11,16,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
78,78,person,conv_crossing_right_car,rightleft_bottomtop,2021-11-11,17,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
79,79,person,conv_crossing_right_person,leftright_topbottom,2021-11-11,10,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
80,80,person,conv_crossing_right_person,rightleft_bottomtop,2021-11-11,41,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
81,81,truck,conv_crossing_far_car,leftright_topbottom,2021-11-11,10,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
82,82,truck,conv_crossing_far_car,rightleft_bottomtop,2021-11-11,7,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
83,83,truck,conv_crossing_far_person,leftright_topbottom,2021-11-11,1,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
84,84,truck,conv_crossing_far_person,rightleft_bottomtop,2021-11-11,9,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
85,85,truck,conv_crossing_left_car,leftright_topbottom,2021-11-11,16,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
86,86,truck,conv_crossing_left_car,rightleft_bottomtop,2021-11-11,9,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
87,87,truck,conv_crossing_left_person,rightleft_bottomtop,2021-11-11,1,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
88,88,truck,conv_crossing_parking,rightleft_bottomtop,2021-11-11,1,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
89,89,truck,conv_crossing_right_car,leftright_topbottom,2021-11-11,4,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
90,90,truck,conv_crossing_right_car,rightleft_bottomtop,2021-11-11,18,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
91,91,truck,conv_crossing_right_person,leftright_topbottom,2021-11-11,8,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
92,92,bus,conv_crossing_far_car,leftright_topbottom,2021-11-11,2,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
93,93,bus,conv_crossing_far_car,rightleft_bottomtop,2021-11-11,5,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
94,94,bus,conv_crossing_far_person,leftright_topbottom,2021-11-11,1,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
95,95,bus,conv_crossing_left_car,rightleft_bottomtop,2021-11-11,1,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
96,96,bus,conv_crossing_right_car,leftright_topbottom,2021-11-11,4,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
97,97,bus,conv_crossing_right_car,rightleft_bottomtop,2021-11-11,4,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
